iter	Passed	Remaining
0	2	264
1	4	240
2	7	235
3	9	221
4	11	218
5	13	214
6	15	211
7	18	208
8	20	206
9	22	203
10	24	200
11	27	198
12	29	195
13	31	194
14	33	191
15	36	189
16	38	188
17	40	186
18	43	183
19	45	181
20	47	179
21	50	178
22	51	173
23	53	169
24	55	165
25	56	161
26	58	157
27	59	153
28	61	150
29	62	146
30	64	143
31	65	139
32	66	135
33	67	131
34	69	128
35	70	125
36	71	122
37	73	119
38	74	116
39	75	113
40	76	110
41	77	107
42	78	104
43	80	102
44	81	99
45	82	96
46	83	94
47	84	91
48	86	89
49	87	87
50	88	85
51	89	83
52	91	81
53	92	78
54	93	76
55	94	74
56	95	72
57	97	70
58	98	68
59	99	66
60	100	64
61	102	62
62	103	60
63	104	58
64	106	57
65	107	55
66	108	53
67	109	51
68	111	49
69	112	48
70	113	46
71	114	44
72	115	42
73	117	41
74	118	39
75	120	37
76	121	36
77	122	34
78	123	32
79	125	31
80	126	29
81	127	27
82	128	26
83	129	24
84	130	23
85	132	21
86	133	19
87	134	18
88	135	16
89	137	15
90	138	13
91	139	12
92	140	10
93	141	9
94	142	7
95	144	6
96	145	4
97	146	2
98	147	1
99	148	0
